task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	99/c06f2a	6386297	snp_calling:fastaIndex (Reference FASTA index building)	COMPLETED	0	2026-03-26 15:48:50.723	59s	1s	97.1%	3.8 MB	11.6 MB	456.2 MB	103.8 KB
2	7d/9fb5ab	6386298	snp_calling:gatkIndex (Reference GATK index building)	COMPLETED	0	2026-03-26 15:48:51.721	1m 58s	4s	93.7%	509.3 MB	4.2 GB	469.4 MB	1.2 MB
7	35/150d0a	6386302	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:55.719	2m 54s	1m 25s	326.6%	1.2 GB	1.6 GB	1.7 GB	1.9 GB
8	8f/2a6464	6386303	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:56.718	2m 53s	1m 27s	352.9%	681.6 MB	1 GB	1.8 GB	2.1 GB
4	b2/dcd6f5	6386299	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:52.748	2m 57s	1m 13s	349.3%	694.8 MB	1 GB	1.4 GB	1.6 GB
5	06/509198	6386300	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:53.720	2m 56s	1m 11s	361.1%	734.6 MB	1.1 GB	1.4 GB	1.6 GB
6	a1/aab597	6386301	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:54.719	3m 55s	2m 16s	332.6%	745.1 MB	1 GB	2.6 GB	2.9 GB
15	3b/a703fb	6386310	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:03.719	3m 46s	1m 49s	289.3%	636.3 MB	1 GB	1.7 GB	1.9 GB
10	ce/c101ad	6386305	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:58.720	3m 51s	2m 16s	285.2%	668.5 MB	1.1 GB	1.9 GB	2.2 GB
18	13/6e4909	6386313	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:06.720	3m 43s	1m 38s	338.8%	657.4 MB	1 GB	2 GB	2.3 GB
17	29/1d1409	6386312	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:05.721	3m 44s	1m 12s	344.9%	668.4 MB	1 GB	1.5 GB	1.7 GB
19	e1/6b9daf	6386314	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:07.719	3m 42s	1m 43s	285.1%	644.7 MB	1.1 GB	1.6 GB	1.9 GB
9	03/3a7d87	6386304	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:48:57.720	4m 52s	3m 45s	331.2%	742 MB	1 GB	4.2 GB	4.5 GB
22	32/fe8edf	6386317	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:10.719	4m 39s	1m 10s	348.5%	681.3 MB	1 GB	1.5 GB	1.7 GB
25	cc/f930c4	6386320	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:13.721	4m 36s	1m 50s	334.2%	648.7 MB	1 GB	2.2 GB	2.5 GB
28	ba/6ae6aa	6386322	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:15.720	4m 34s	1m 45s	284.2%	642.4 MB	1 GB	1.6 GB	1.8 GB
26	59/4a4a0a	6386321	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:14.720	4m 35s	1m 43s	304.2%	756.6 MB	1.1 GB	1.9 GB	2.2 GB
23	96/c622b2	6386318	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:11.719	4m 38s	2m	297.7%	651.4 MB	1 GB	2 GB	2.3 GB
16	f6/085846	6386311	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:04.720	5m 45s	3m 46s	332.3%	711.4 MB	1 GB	4.3 GB	4.6 GB
33	6a/bd36b1	6386327	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:20.718	5m 29s	1m 22s	320.8%	642.3 MB	1 GB	1.5 GB	1.7 GB
36	00/b1943a	6386331	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:24.719	5m 25s	1m 23s	305.3%	700.4 MB	1 GB	1.4 GB	1.5 GB
35	cd/4c763c	6386328	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:21.719	5m 28s	1m 37s	341.0%	778.8 MB	1.1 GB	1.8 GB	2.1 GB
40	85/26ef83	6386333	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:26.720	5m 23s	1m 13s	336.6%	843 MB	1.2 GB	1.5 GB	1.7 GB
39	7e/a20d1f	6386334	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:27.719	5m 22s	1m 48s	299.7%	695.1 MB	1.1 GB	1.9 GB	2.1 GB
3	2c/65bd44	6386296	snp_calling:bwaIndex (BWA index building)	COMPLETED	0	2026-03-26 15:48:50.157	7m	5m 45s	99.1%	681.2 MB	685.6 MB	1.8 GB	1.2 GB
12	d0/b2bee1	6386307	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:00.720	6m 49s	4m 36s	292.7%	699.7 MB	1.1 GB	4.2 GB	4.5 GB
20	1d/561990	6386315	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:08.719	6m 41s	4m 31s	270.0%	732.9 MB	1 GB	4 GB	4.3 GB
38	78/75c459	6386332	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:25.723	6m 24s	2m 10s	322.0%	681.4 MB	1 GB	2.5 GB	2.8 GB
41	bc/a030cb	6386337	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:30.719	6m 19s	2m 2s	343.0%	692 MB	1.1 GB	2.5 GB	2.9 GB
45	eb/a4d1df	6386341	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:34.720	6m 15s	1m 42s	327.3%	663.7 MB	1.1 GB	2 GB	2.3 GB
53	00/cd8639	6386345	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:38.719	6m 11s	1m 43s	304.6%	655.3 MB	1.1 GB	1.8 GB	2.1 GB
46	1d/07c99a	6386339	snp_calling:trimSequences (Fastp trimming fastq files)	COMPLETED	0	2026-03-26 15:49:32.720	6m 17s	2m 2s	286.6%	691.6 MB	1 GB	2.1 GB	2.3 GB
